W0GR0268,IE0GR0268
G1492,C2CN10994
G1497,C2CN10996
G1501,C2CN1099
G1503,G1366
G1525,C2CN10985
G1543,G1531
G1678,G2CN10949
G1688,G2CN10950
G1885,G1KR2484
G1KG414,G1KR1755
G1KR2154,G1PD95990
G1KR2485,G1KR2484
G1KR2724,G2712
G1PD105576,G1PD105573
G1PD110107,G2CN220
G1PD96164,G1PD96166
G2070,G405
G2111,G562
G2124,G2387
G2126,G2800
G2200,G2396
G2253,G2LS520
G234,G1KR2783
G2366,G405
G2372,G2339
G2373,G2337
G2374,G1518
G2388,G2318
G2392,G3185
G2402,G3613
G2495,G3487
G252,G3611
G253,G393
G2567,G4275
G2588,G1KR2725
G2704,G1KR2688
G2709,G1KR2704
G2724,G2732
G2730,G1KR2824
G2731,G1KR2822
G276,G3278
G2801,G1218
G2817,G4454
G2823,G4459
G2845,G1KR995
G2886,G1KR1889
G2895,G1KR1890
G2906,G1KR1884
G2907,G2929
G2909,G1KR1891
G2910,G1KR1892
G2914,G1KR1886
G2928,G1KR1887
G2931,G1KR1881
G2932,G1KR1882
G2CN10944,G1KR2385
G2DB94302,G1PD95843
G2DB94303,G1PD95843
G2DB94304,G1PD95843
G2DB94305,G1PD95843
G2DB94306,G1PD95843
G2DB94309,G1PD95843
G2DB94310,G1PD95843
G2DB94311,G1PD95843
G2DB94312,G1PD95843
G2DB94313,G1PD95843
G2DB94314,G1PD95843
G2DB94316,G1PD95843
G2DB94317,G1PD95843
G2DB94318,G1PD95843
G2DB94320,G1PD95843
G2GS1090,G1521
G2GS1127,G2800
G2GS1132,G153
G2GS1236,G1KR1020
G2JM234,G2077
G2JM247,G3997
G2JM254,G8LS12773
G2LS522,G3247
G2LS536,G2220
G2LS543,G1KR1795
G2LS591,G2261
G2LS592,G2263
G2MS13272,G1009
G2MS13755,G1GS1590
G2MS14669,G3167
G3026,G3372
G3028,G3049
G3114,G1KR1648
G3179,G1955
G3204,G3185
G3218,G3954
G3272,G3946
G3312,G3321
G3319,G4605
G3341,G3328
G3380,G2207
G3382,G1KR1686
G3421,G1KR1691
G3423,G1KR1692
G3424,G1KR1699
G3471,G26
G3495,G3791
G3610,G510
G3613,G3248
G3634,G188
G3644,G1606
G372,G4851
G3758,G1KR166
G3777,G4261
G38,G1KR1008
G3820,G491
G383,G1KR1893
G3897,G3883
G39,G1KR986
G3AG43,G1KR1686
G3JT12418,G1164
G3JT12419,G2315
G3JT12420,G3170
G3JT12604,G3CN1713
G3LS26,G2274
G410,G3805
G411,G3785
G414,G2066
G4141,G1272
G4152,G1KR1652
G416,G1629
G4167,G1KR1648
G4178,G00AG01802
G4219,G1KR1491
G4227,G3522
G423,G3526
G4241,G898
G4251,G210
G4320,G1KR1020
G4327,G1KR166
G4332,G1801
G4355,G8LS12072
G4371,G1KR1884
G4372,G4015
G4377,G2143
G4500,G1KR1854
G4505,G1KR1751
G4514,G1KR1185
G4515,G1KR1163
G4519,G3539
G4521,G1KR1146
G4523,G1KR1143
G4524,G1KR1061
G459,G265
G4624,G4195
G4625,G4196
G4639,G4023
G4672,G1KR226
G4693,G4652
G4738,G1912
G4774,G4183
G485,G1KR1663
G490,G1KR1686
G4904,G1GS1642
G4921,G1720
G4CZ1549,G1KR1455
G4CZ1551,G4247
G4CZ1552,G1KR1614
G532,G12
G550,G3580
G569,G1300
G579,G1KR2455
G588,C2CN11000
G592,G1164
G594,C2CN1100
G611,C2CN11002
G625,C2CN11003
G629,C2CN11004
G633,C2CN11035
G635,G1176
G648,C2CN11005
G671,G1164
G673,C2CN11008
G706,C2CN11010
G721,C2CN11012
G826,G210
G846,G848
G866,G850
G884,C2CN11018
G890,C2CN11019
G894,G1360
G8LS1428,G8LS1429
G8LS3416,G1PD110084
G902,C2CN11020
G910,G1218
G911,G1218
G919,G1032
G921,C2CN11023
G926,C2CN11024
G959,C2CN11027
G976,G1218
G993,G1218
G994,G1218
G9CTX202,G3CN466
P00AG01701,P8717
P00EGS1016691,P00EGS1016749
P00EGS1017631,P6306
P00EGS1017950,P9602
P00KG02842,P9898
P0RK1,P7326
P0RK106,T1987
P0RK1084,P3835
P0RK1114,P0RK1102
P0RK1137,P7695
P0RK1216,P7695
P0RK1220,P2JM145
P0RK1274,P10000
P0RK163,T619
P0RK1729,P4CZ16819
P0RK180,T390
P0RK206,P487
P0RK243,P5782
P0RK287,P7752
P0RK359,T428
P0RK387,T106
P0RK389,P4CZ10541
P0RK479,P4CZ15075
P0RK492,T423
P0RK573,T69
P0RK659,P4CZ15637
P0RK671,P4CZ16794
P0RK826,P3630
P0RK828,P10599
P0RK851,T106
P0RK978,P4CZ15638
P10034,P0RK15
P10186,P7878
P10359,P0RK431
P10426,P5290
P10475,P2418
P10593,P4997
P10MS19427,P1089
P11MS233,P10MS14671
P1205,P4707
P1365,P6824
P1387,P10416
P1695,P7637
P1882,P2464
P1960,P0RK752
P1971,P7997
P1AG13,P1KG4203
P1EE10,P4985
P1JM507,P5658
P1KG3390,P8LS4259
P1KG4947,P8418
P1KG5915,P2MS13790
P2224,P8572
P2369,P741
P2445,P10313
P2449,P8968
P2520,P5209
P2675,P2677
P2695,P3AG30
P2808,P3102
P2853,P8464
P2AG24,P5405
P2CN11072,P4526
P2CN21,P2783
P2GS1101,P2GS1103
P2JM15,P6986
P2JM213,P692
P2JM259,P8741
P2JM3,P1GS105233
P2JM344,P740
P2JM345,P10497
P2JM352,P8LS13216
P2JM369,P748
P2JM416,P2JM443
P3048,P2607
P3164,P316
P3362,P7166
P3693,P6212
P376,P166
P381,P8LS12087
P3962,P0RK695
P3AG38,P3JM110
P3JT12431,P1KG5008
P3JT12492,P1701
P3JT4938,P2273
P4011,P8966
P4020,P3092
P4055,P1138
P4110,P3174
P4750,P7997
P476,P856
P4CZ15614,P39
P4CZ301808,P5091
P5172,P7472
P5233,P5955
P5272,W4838
P5445,P5444
P5744,P3871
P5890,P8LS12746
P5977,P7404
P5983,P6011
P6127,P1544
P636,P4043
P6507,P5920
P6545,P273
P6609,P707
P6675,P7134
P687,P369
P6950,P1845
P7192,P3101
P7325,P5011
P7690,P2562
P7710,P5642
P7773,P7798
P7940,P9252
P7974,T2CZ10402
P8007,P3AG53
P8154,P4CZ16819
P8189,P5782
P8262,P00KG07267
P8285,P6334
P8307,P5969
P8465,P1367
P8683,P7483
P8709,P731
P8720,P00EGS101795
P8734,P5291
P876,P7857
P8782,P6006
P8809,P4580
P8LS12032,P5642
P8LS12077,P329
P8LS12178,P3231
P8LS12197,P8702
P8LS12201,P3998
P8LS12202,P2CZ7866
P8LS12606,P2296
P8LS12612,P4122
P8LS12753,P5162
P8LS12944,P4688
P8LS13016,P5619
P8LS13142,P8452
P8LS13143,P8453
P8LS13144,P7031
P8LS13145,P2597
P8LS13323,P199
P8LS13463,P1560
P8LS13662,P3835
P8LS13757,P3827
P8LS14039,P0RK1112
P8LS1421,P2744
P8LS14228,P4CZ15150
P8LS1424,P9586
P8LS4259,P2JM411
P9394,P9396
P9432,P1258
P9463,P4553
P9956,P0RK431
R8LS13048,R10MS14279
R8LS13115,R8LS12858
R8LS13165,R8LS13249
R8LS13386,R8LS13078
T00AG01173,W3JT13386
T00AG01318,T1432
T00AG01367,T463
T00AG0331,T2101
T00EGS1017130,T220
T00KG03925,T186
T1035,P1056
T1048,T2251
T1080,G3998
T116,T753
T1170,T203
T11MS52,T208
T124,T2GS1192
T1271,W4CZ321175
T1525,T2MS5993
T1526,T2177
T1579,2GS1087
T1583,T1483
T1752,G2MS14908
T1773,T1408
T180,G1398
T1806,T219
T1957,T1111
T1960,G2MS13780
T1965,T2623
T1AT298,T1351
T1AT304,T847
T1AT472,T479
T1GS108078,T1CZ91
T1GS110791,T1044
T1GS147805,T837
T1KG3852,T1PD95804
T1PD105575,G1PD105573
T2031,T1232
T2059,T2552
T2122,G323
T2216,G3CN2029
T223,G1538
T224,G2GS1089
T226,G2145
T227,G2GS1090
T2286,T2051
T2355,G2MS13755
T236,G523
T239,W21667
T2402,T1GS149121
T2436,T1125
T2547,W4CZ16793
T2590,G233
T293,G2GS1127
T296,G2317
T2CZ8036,W4CZ10510
T2DB4532,T2064
T2GS1167,T435
T2GS1224,T774
T2MS11381,T720
T2MS13818,T1357
T2MS14937,T969
T303,T336
T31,T1134
T318,G3219
T334,G162
T345,P6753
T357,G337
T362,G2203
T366,G3170
T367,G17
T396,W19740
T3JT13429,T279
T420,G2944
T4CZ15448,T4CZ15589
T542,T140
T604,T2GS1171
T621,W10MS11135
T689,T2GS1157
T71,G104
T726,T603
T766,T2GS1191
T775,G2530
T776,G160
T777,G2491
T779,G3004
T781,G2147
T783,G247
T784,G3005
T785,G880
T786,G3182
T787,G1196
T790,G33
T796,G416
T797,G977
T798,G2324
T864,G3090
T8LS14945,T1804
T914,T693
P0RK240,P7401
P10257,P7009
P0RK405,P10172
P3835,P8224
P0RK302,P7588
P8LS13561,P10023
P0RK662,P4CZ15467
P3395,P3423
P8LS13738,P3992
P0RK983,P10040
P3072,P2285
G3159,G3518
G2441,G4606
G4215,G3474
P0RK36,P4CZ10568
P0RK153,P00EGS1016642
P0RK200,P8181
P0RK512,P1880
P5301,P0RK537
P4068,P2922
P6188,P475
P4544,P5302
P8LS12743,P869
P0RK1734,P1575
P0RK1132,P0RK1609
P10173,P10172
P3058,P5838
P3049,P5838
P4CZ15156,P7753
P1007,P5280
P0RK1080,P5471
P0RK819,P3230
P00KG02781,P0RK1283
P0RK120,P2615
P2009,P2460
